company_name,company_industry
R1 RCM,Hospitals and Health Care
Methodist Health System,Hospitals and Health Care
Gilead Sciences,Biotechnology Research
Robert Half,Staffing and Recruiting
Universal Music Group,Musicians
Gensler,Architecture and Planning
American Express Global Business Travel,Travel Arrangements
Elara Caring,Hospitals and Health Care
Rockwell Automation,Automation Machinery Manufacturing
WeWork,Real Estate
Albertsons,Retail
CommuniCare Health Services,Hospitals and Health Care
The North Face,Retail Apparel and Fashion
The Aerospace Corporation,Space Research and Technology
Warner Bros. Discovery,Entertainment Providers
Vantage Data Centers,IT Services and IT Consulting
Synchrony,Financial Services
Jackson National Life Insurance Company,Financial Services
University of Pennsylvania,Higher Education
Kraft Heinz,Food and Beverage Services
Belk,Retail
Petco,Retail
Lexmark,IT Services and IT Consulting
Light & Wonder,Gambling Facilities and Casinos
Cleveland Metropolitan School District,Education Administration Programs
Clarios,Motor Vehicle Parts Manufacturing
Proofpoint,Computer and Network Security
Alight Solutions,Human Resources Services
Caltrans - CA Dept. of Transportation,Government Administration
Zillow,Real Estate
Spectrum Health,Hospitals and Health Care
Children's Wisconsin,Hospitals and Health Care
Mondelēz International,Food and Beverage Manufacturing
Family Health Centers of San Diego,Hospitals and Health Care
Oregon Department of Corrections,Public Safety
Otis Elevator Co.,Consumer Services
Zoom,IT Services and IT Consulting
nVent,"Appliances, Electrical, and Electronics Manufacturing"
Dematic,"Transportation, Logistics, Supply Chain and Storage"
BD,Medical Equipment Manufacturing
Prudential,Financial Services
Milwaukee Tool,Manufacturing
Capital One,Financial Services
S&P Global,Financial Services
Amherst College,Higher Education
Exact Sciences,Biotechnology Research
Donaldson,Industrial Machinery Manufacturing
Palace Entertainment,Entertainment Providers
"Landmark Properties, Inc.",Real Estate
Marsh McLennan,Financial Services
LTK,Software Development
LTK USA,"Technology, Information and Internet"
The Mosaic Company,Mining
Carnegie Mellon University,Higher Education
Marvell Technology,Semiconductor Manufacturing
Johnson & Johnson,Hospitals and Health Care
Alcoa,Mining
Fresh Thyme Market,Retail Groceries
Neurocrine Biosciences,Biotechnology Research
Guidehouse,Business Consulting and Services
STV Group,Civil Engineering
ERPA,IT Services and IT Consulting
Gen,Computer and Network Security
Hypertherm,"Appliances, Electrical, and Electronics Manufacturing"
National Renewable Energy Laboratory,Research Services
"Stride, Inc.",E-Learning Providers
Microchip Technology,"Appliances, Electrical, and Electronics Manufacturing"
Nebraska Department of Health and Human Services,Government Administration
Broadridge,Financial Services
Cubic Corporation,IT Services and IT Consulting
Kontoor Brands,Retail
Franklin Templeton,Financial Services
Beyond Yoga,Retail Apparel and Fashion
Workiva,Software Development
Alight,International Affairs
Wayfair,Retail
Altar'd State,Retail
Integrity Marketing Group,Insurance
Iowa State University,Higher Education
RingCentral,IT Services and IT Consulting
City of Dallas,Government Administration
Las Vegas Valley Water District,Utilities
MillerKnoll,Design Services
Otsuka,Pharmaceutical Manufacturing
Engineering Industries eXcellence,IT Services and IT Consulting
Department of Transportation,Government Administration
TIAA,Financial Services
Hoffman Construction Company,Construction
Embry-Riddle Aeronautical University,Higher Education
QuidelOrtho Corporation,Medical Equipment Manufacturing
Uline,Wholesale
Mr. Cooper,Financial Services
UAMS - University of Arkansas for Medical Sciences,Hospitals and Health Care
GEI Consultants Inc,Architecture and Planning
Best Buy,Retail
Monument Health,Hospitals and Health Care
Wellesley College,Higher Education
Risk Solutions,IT Services and IT Consulting
Brookfield Asset Management,Financial Services
iHeartMedia,Broadcast Media Production and Distribution
Choice Hotels,Hospitality
Safelite,Retail
Whataburger,Restaurants
Williams Lea,Outsourcing and Offshoring Consulting
ServiceTitan,Software Development
Planet,Software Development
LEVI'S,Retail Apparel and Fashion
Simpson Strong-Tie,Wholesale Building Materials
MaineGeneral Health,Hospitals and Health Care
Snowflake,Software Development
Zayo Group,Telecommunications
University of Maryland University College,Education
Success Academy Charter Schools,Education Administration Programs
VCU Health,Hospitals and Health Care
Oregon Department of Education,Education
Red Robin,Restaurants
Winchester Public Schools,Primary and Secondary Education
Twilio,Software Development
Invesco,Financial Services
ASM Global,Entertainment Providers
University of Kansas Medical Center,Higher Education
Booz Allen Hamilton,IT Services and IT Consulting
Agilent Technologies,Biotechnology Research
BeiGene,Biotechnology Research
Daimler Truck North America,Motor Vehicle Manufacturing
Kognitiv Inc,IT Services and IT Consulting
BAYADA Home Health Care,Hospitals and Health Care
American Electric Power,Utilities
Washington and Lee University,Higher Education
Celonis,Software Development
Valmont Industries,Manufacturing
Lineage,"Transportation, Logistics, Supply Chain and Storage"
Vishay,Manufacturing
Protiviti,Business Consulting and Services
Department of Environmental Quality,Broadcast Media Production and Distribution
Vertex Pharmaceuticals,Biotechnology Research
Covetrus,Veterinary Services
Curtiss-Wright,Machinery Manufacturing
Synchrony Financial,Financial Services
Databricks,Software Development
MarketStar,Outsourcing and Offshoring Consulting
QVC,Retail
The Jackson Laboratory,Biotechnology Research
Sprinklr,Software Development
The Clorox Company,Manufacturing
T. Rowe Price,Financial Services
University of Wisconsin–Madison,Education
Shaw Industries,Textile Manufacturing
Institutional Shareholder Services,Financial Services
Workato,Software Development
Dave & Buster's,Restaurants
DaVita Kidney Care,Hospitals and Health Care
Vans,Retail
Agiliti,Medical Equipment Manufacturing
GoDaddy,"Technology, Information and Internet"
Western Governors University,Higher Education
Integra LifeSciences,Medical Equipment Manufacturing
HUB International,Insurance
PCI Pharma Services,Pharmaceutical Manufacturing
Fivetran,Software Development
Aspen Technology,Software Development
Strada,IT Services and IT Consulting
AGC Biologics,Biotechnology Research
Armanino LLP,Accounting
Berklee College of Music,Musicians
Genuine Parts Company,Motor Vehicle Manufacturing
University of Rochester,Higher Education
Merit Medical,Hospitals and Health Care
Oregon Youth Authority,Government Administration
Avnet,"Technology, Information and Internet"
Schreiber Foods,Food and Beverage Manufacturing
Brown Brothers Harriman,Financial Services
Henry Schein,Medical Equipment Manufacturing
FHI 360,International Trade and Development
Worldpay,Financial Services
Illumina,Biotechnology Research
Bon Secours,Hospitals and Health Care
BluePearl Pet Hospital,Veterinary Services
Maxar Technologies,Defense and Space Manufacturing
CNA Insurance,Insurance
Ameriprise Financial,Financial Services
"City of Aurora, CO",Government Administration
Alteryx,Software Development
Zoetis,Pharmaceutical Manufacturing
Young Living Essential Oils,Wellness and Fitness Services
Deckers Brands,Retail Apparel and Fashion
Florida Gulf Coast University,Higher Education
Concentrix,IT Services and IT Consulting
Warner Music Group,Entertainment Providers
Aims Community College,Higher Education
Lennar,Real Estate
The J. M. Smucker Company,Manufacturing
Splunk,Software Development
Slalom,Business Consulting and Services
Cadence Design Systems,Computer Hardware Manufacturing
2020 Companies,Advertising Services
Memorial Healthcare System,Hospitals and Health Care
VF Corporation,Retail Apparel and Fashion
SS&C Technologies,Software Development
Timberland,Retail
"Collaborative Solutions, LLC",IT Services and IT Consulting
Lewis & Clark College,Higher Education
DoorDash,Software Development
Northeast Wisconsin Technical College,Higher Education
Mercy Health,Hospitals and Health Care
CliftonLarsonAllen,Professional Services
Bose,Consumer Services
Leidos,IT Services and IT Consulting
Endeavor Health,Hospitals and Health Care
Metropolitan State University of Denver,Higher Education
World Fuel Services,Oil and Gas
American University,Higher Education
Remitly,Financial Services
Samsara,Software Development
eBay,"Technology, Information and Internet"
Wescom Credit Union,Banking
The Baldwin Group,Insurance
Avangrid,Utilities
"RaceTrac Petroleum, Inc.",Retail
Creative Artists Agency,Entertainment Providers
CarMax,Retail
Department of Administrative Services,Government Administration
Transaction Network Services,Telecommunications
Safeguard Global,Human Resources Services
Camping World,Retail
Brookfield Properties,Real Estate
180 Medical,Hospitals and Health Care
Hargrove Engineers + Constructors,Architecture and Planning
Diversey,Chemical Manufacturing
Academy School District 20,Education Administration Programs
Pall,Pharmaceutical Manufacturing
Entegris,Semiconductor Manufacturing
FedEx,Freight and Package Transportation
Sysco,Food and Beverage Services
Sentry,Insurance
United Allergy Services,Hospitals and Health Care
Fifth Third Bank,Financial Services
Sunbelt Rentals,Retail Office Equipment
City of Baltimore,Government Administration
Parsons Corporation,Civil Engineering
Endicott College,Higher Education
Burrell Behavioral Health,Mental Health Care
Snap,Photography
Coinbase,Financial Services
Teledyne ETM,"Appliances, Electrical, and Electronics Manufacturing"
Ensign Services,Hospitals and Health Care
Medtronic,Medical Equipment Manufacturing
Dockers,Retail Apparel and Fashion
Mercer,Professional Services
Greif,Packaging and Containers Manufacturing
Mary Washington Healthcare,Hospitals and Health Care
IQVIA,Hospitals and Health Care
Gerber Collision & Glass,Motor Vehicle Manufacturing
"University of Nevada, Reno",Higher Education
State of Washington,Government Administration
State of Nebraska,Government Administration
LiveRamp,Advertising Services
Charter Manufacturing,Manufacturing
Living Spaces,Retail Furniture and Home Furnishings
WEX Inc.,IT Services and IT Consulting
Qualys,Computer and Network Security
Success Academy,Professional Training and Coaching
Owens & Minor,Hospitals and Health Care
Cloudera,Software Development
Specialty Granules LLC,Mining
Airbnb,Software Development
Boston Consulting Group,Business Consulting and Services
MRI Software,Software Development
Texas A&M AgriLife Extension,Education
Ares Management,Financial Services
Corpay,Financial Services
Everest Re Group,Insurance
"Systems, LLC",Manufacturing
WELLS FARGO BANK,Financial Services
Braze,Software Development
Novanta,Manufacturing
HP,IT Services and IT Consulting
U.S. Bank,Banking
Terex Corporation,Machinery Manufacturing
Sierra Space,Aviation and Aerospace Component Manufacturing
Rogers Behavioral Health,Mental Health Care
Otis,Manufacturing
Littelfuse,"Appliances, Electrical, and Electronics Manufacturing"
Ankura,Business Consulting and Services
Stripe,"Technology, Information and Internet"
Watts Water Technologies,Wholesale Building Materials
DSST Public Schools,Primary and Secondary Education
UPS,Truck Transportation
Baxter,Pharmaceutical Manufacturing
Pye-Barker Fire & Safety,Public Safety
Dallas Area Rapid Transit,Rail Transportation
Fidelity Investments,Financial Services
Pinterest,Software Development
CoreLogic,Information Services
State of Maryland,Government Administration
PGA TOUR Superstore,Retail
Arkansas Children's Hospital,Hospitals and Health Care
Compassus,Hospitals and Health Care
Clario,Biotechnology Research
Intuit,Software Development
Medline Industries,Medical Equipment Manufacturing
Forcepoint,Software Development
Western Alliance Bank,Banking
KBR,Defense and Space Manufacturing
Associated Bank,Financial Services
Newfold Digital,Software Development
BlackRock,Financial Services
"Ryan, LLC",Accounting
GE HealthCare,Hospitals and Health Care
OneDigital,Business Consulting and Services
H&E Equipment Services,Construction
Intapp,Software Development
Delinea,Software Development
Trinity Health,Hospitals and Health Care
Pattern,Economic Programs
Loyola Marymount University,Higher Education
Cloudflare,Computer and Network Security
Caliber Collision,Motor Vehicle Manufacturing
PVH Corp.,Retail Apparel and Fashion
Amplify,Education Administration Programs
Edwards Lifesciences,Medical Equipment Manufacturing
Loews Hotels & Co,Hospitality
Boeing,Airlines and Aviation
"Woodward, Inc.",Aviation and Aerospace Component Manufacturing
University of Miami Miller School of Medicine,Higher Education
Crowe LLP,Accounting
TYLin,Civil Engineering
Nordson,Machinery Manufacturing
"Destination Pet, LLC",Veterinary Services
Stevens Institute of Technology,Higher Education
Safeway,Retail
University of Massachusetts,Higher Education
LexisNexis Legal & Professional,Software Development
GAF,Wholesale Building Materials
Datasite,Software Development
Lightspeed,Venture Capital and Private Equity Principals
Anaplan,Software Development
US Acute Care Solutions,Hospitals and Health Care
Oregon State Department of Police,Consumer Services
Taylor Corporation,Printing Services
Transwestern,Real Estate
AJ Technology Company,IT Services and IT Consulting
Caribou Coffee,Food and Beverage Services
Howard University,Higher Education
Carrier,Wholesale Building Materials
Axos Bank,Banking
TreeHouse Foods,Food and Beverage Manufacturing
Ecolab,Chemical Manufacturing
Kemper,Insurance
Argonne National Laboratory,Research Services
PayPal,Software Development
First National Bank,Banking
OneOncology,Hospitals and Health Care
SpaceX,Aviation and Aerospace Component Manufacturing
Invenergy,Renewable Energy Power Generation
Ringling College of Art and Design,Higher Education
UNFI,Food and Beverage Services
University of Louisville,Higher Education
ASU Preparatory Academy,Education
Teladoc Health,Hospitals and Health Care
Apria Healthcare,Hospitals and Health Care
Collin County Community College,Education
Mars,Manufacturing
See's Candies,Retail
Waterford School District,Primary and Secondary Education
Little Caesars Pizza,Food and Beverage Services
Rocket Software,IT Services and IT Consulting
DocGo,Hospitals and Health Care
Washington University in St Louis,Higher Education
Hillenbrand,Automation Machinery Manufacturing
Brandeis University,Higher Education
TTM Technologies,"Appliances, Electrical, and Electronics Manufacturing"
FICO,Software Development
FORTNA,"Transportation, Logistics, Supply Chain and Storage"
"Wilson & Company, Inc., Engineers & Architects",Architecture and Planning
Clearwater Analytics,Software Development
Toyota,Transportation Equipment Manufacturing
Northern Trust,Financial Services
Voya Financial,Financial Services
Etsy,Software Development
Interstate Batteries,Manufacturing
Federal Reserve Bank of Richmond,Banking
8x8,IT Services and IT Consulting
St. Elizabeth Healthcare,Hospitals and Health Care
Adient,Motor Vehicle Manufacturing
The Navigators,Religious Institutions
John Hancock,Financial Services
Central New Mexico Community College,Higher Education
Management Sciences for Health (MSH),Non-profit Organizations
TECHTIC SOLUTION,Software Development
Columbia Sportswear,Manufacturing
Chuck E. Cheese,Entertainment Providers
Hinge Health,Software Development
Integer,Government Relations Services
Horizon Blue Cross Blue Shield of New Jersey,Insurance
MKS Instruments,Semiconductor Manufacturing
Amentum,Defense and Space Manufacturing
Eventbrite,Software Development
Nidec Motor Corporation,"Appliances, Electrical, and Electronics Manufacturing"
PBK Architects,Architecture and Planning
Pacific Life,Financial Services
Bloomberg Industry Group,Software Development
Siplast,Wholesale Building Materials
OneTrust,Software Development
LexisNexis Risk Solutions,Data Infrastructure and Analytics
Pullman Regional Hospital,Hospitals and Health Care
Boston Medical Center,Hospitals and Health Care
Trimble Inc.,Software Development
Constellation Brands,Food and Beverage Services
ilani,Gambling Facilities and Casinos
Veeva Systems,Software Development
Ann & Robert H. Lurie Children's Hospital of Chicago,Hospitals and Health Care
BECU,Banking
Florida Virtual School,Education
Roper St. Francis Healthcare,Hospitals and Health Care
My Choice Wisconsin,Hospitals and Health Care
2U,Education Administration Programs
VSP Vision,Hospitals and Health Care
Suffolk University,Higher Education
DTN,IT Services and IT Consulting
Ameresco,Renewable Energy Semiconductor Manufacturing
AllianceBernstein,Financial Services
Signet Jewelers - Field,Retail
Verizon,IT Services and IT Consulting
Salt Lake City Corporation,Government Administration
Mavenir,Software Development
TruGreen,Consumer Services
Chamberlain Group,Software Development
TaskUs,Outsourcing and Offshoring Consulting
LGG Industrial,Wholesale
Prologis,Real Estate
Automation Anywhere,Software Development
JOANN Stores,Retail
Tokio Marine HCC,Insurance
Life Fitness,Wellness and Fitness Services
Santa Clara University,Higher Education
Solar Turbines,Oil and Gas
Bridgestone Americas,Motor Vehicle Manufacturing
Slack,"Technology, Information and Internet"
Capital Group,Financial Services
Shutterstock,Software Development
Terminix,Consumer Services
Bill & Melinda Gates Foundation,Non-profit Organizations
Sarasota County Government,Government Administration
The Metropolitan Museum of Art,"Museums, Historical Sites, and Zoos"
Klaviyo,Marketing Services
Quantiphi,IT Services and IT Consulting
Risk Strategies,Insurance
Ivy Rehab Network,Wellness and Fitness Services
Hach,Environmental Services
Hogan Lovells,Law Practice
Netsmart Technologies,IT Services and IT Consulting
Advocate Aurora Health,Hospitals and Health Care
RSM US LLP,Accounting
Vanguard,Financial Services
The NRP Group,Real Estate
"Maricopa County, AZ",Government Administration
Equinix,Internet Publishing
MITRE,Research Services
StockX,Software Development
Great American Insurance Group,Insurance
Options Clearing Corporation,Financial Services
Epic Games,Computer Games
SC Johnson,Manufacturing
Endeavor,Entertainment Providers
Ensemble Health Partners,Hospitals and Health Care
Cambium Learning Group,E-Learning Providers
The University of Virginia,Higher Education
Blackstone,Financial Services
Robinhood,Financial Services
Valley Health,Hospitals and Health Care
OU Health,Hospitals and Health Care
Silicon Labs,Semiconductor Manufacturing
Root Inc.,Insurance
Pure Storage,IT Services and IT Consulting
Tyson Foods,Food and Beverage Manufacturing
Ken Garff Automotive Group,Retail Motor Vehicles
ESAB,Machinery Manufacturing
Trinity University,Higher Education
New Relic,Software Development
Bob's Discount Furniture,Furniture and Home Furnishings Manufacturing
Amplity Health,Pharmaceutical Manufacturing
Drury Hotels,Hospitality
Frontier Behavioral Health,Hospitals and Health Care
Avalara,Software Development
Teledyne FLIR,Defense and Space Manufacturing
Tidal Wave Auto Spa,Consumer Services
Evolent Health,Hospitals and Health Care
CDMS,Environmental Services
Ace Hardware,Retail
Box,"Technology, Information and Internet"
Wolfspeed,Semiconductor Manufacturing
Schomp Automotive Group,Motor Vehicle Manufacturing
"Power Design, Inc.",Construction
CME Group,Financial Services
Open,Software Development
Wellington Management,Investment Management
Samsung Electronics America,Computers and Electronics Manufacturing
Dow Jones,Online Audio and Video Media
ChampionX,Oil and Gas
The New York Times,Newspaper Publishing
Infinera,Telecommunications
Federal Reserve Bank of San Francisco,Financial Services
Huntington Health,Hospitals and Health Care
Smartsheet,Software Development
NCR Voyix,Software Development
ISG,Architecture and Planning
ONEOK,Oil and Gas
Mainsail Lodging & Development,Hospitality
University Corporation for Atmospheric Research,Education
Roku,Software Development
Cook Children's Health Care System,Hospitals and Health Care
ServiceSource Inc.,Civic and Social Organizations
NAVEX,IT Services and IT Consulting
Entrust Corporation,IT Services and IT Consulting
Pharmavite LLC,Manufacturing
Vivint,Computers and Electronics Manufacturing
GoodRx,Hospitals and Health Care
FINRA,Financial Services
Varian,Medical Equipment Manufacturing
Dun & Bradstreet,Information Services
ResMed,Medical Equipment Manufacturing
PIMCO,Investment Management
Workhuman,Human Resources Services
University of Tampa,Higher Education
The Coca-Cola Company,Food and Beverage Services
Granite Construction,Construction
Astreya Partners,IT Services and IT Consulting
Early Warning Services,Financial Services
Bread Financial,Financial Services
Aegion Corporation,Utilities
Pensacola State College,Higher Education
J.Crew,Retail Apparel and Fashion
Monotype,Design Services
Indian River State College,Higher Education
Eli Lilly,Pharmaceutical Manufacturing
Ashland,Chemical Manufacturing
Fogo de Chao,Restaurants
Iron Mountain,IT Services and IT Consulting
Rubrik,Software Development
Live Nation Entertainment,Entertainment Providers
Acxiom,Advertising Services
Riverside Health System,Hospitals and Health Care
Bentley University,Higher Education
Procter & Gamble,Manufacturing
Elanco,Pharmaceutical Manufacturing
Real Chemistry,Advertising Services
nCino,IT Services and IT Consulting
Lytx,IT Services and IT Consulting
TopBloc,IT Services and IT Consulting
UiPath,Software Development
Kaplan,Education Administration Programs
Grand Canyon Education,Education
Zurn Elkay Water Solutions,Wholesale Building Materials
Syniverse,IT Services and IT Consulting
Wyndham Destinations,Hospitality
Burlington Stores,Retail
Emerson College,Higher Education
Loom,Online Audio and Video Media
Alvarez & Marsal,Business Consulting and Services
Arctic Wolf,Computer and Network Security
Flexential,IT Services and IT Consulting
Barings,Financial Services
Howard Hughes Medical Institute,Research Services
Oregon Business Development Department,Government Administration
Georgia Tech,Education
Tommy Bahama,Retail Apparel and Fashion
SWBC,Financial Services
Department of Corrections,Government Administration
Mosaic Pediatric Therapy,Hospitals and Health Care
AT&T,Telecommunications
Solenis,Chemical Manufacturing
La-Z-Boy,Manufacturing
Simon Property Group,Real Estate
Johnson Brothers,Beverage Manufacturing
Elastic,Software Development
Northeastern University,Higher Education
The AES Corporation,Utilities
Grand Valley State University,Higher Education
Desert Research Institute,Environmental Services
Stanley Black & Decker,Machinery Manufacturing
On Location,Entertainment Providers
Coupang,Software Development
KnowBe4,Computer and Network Security
Centerstone,Mental Health Care
International Monetary Fund,International Trade and Development
Smith College,Higher Education
Emler Swim School,Wellness and Fitness Services
Corteva Agriscience,Farming
NiSource,Utilities
Thornton Tomasetti,Design Services
Marymount University,Higher Education
Saint Francis Health System,Hospitals and Health Care
Clear Channel Outdoor,Advertising Services
Oregon Judicial Department,Government Administration
Nakupuna Companies,Business Consulting and Services
Allegro MicroSystems,Semiconductor Manufacturing
Varian Medical Systems,Repair and Maintenance
"GEI Consultants, Inc.",Civil Engineering
American Oncology Network,Hospitals and Health Care
Apex Systems,IT Services and IT Consulting
McKesson,Hospitals and Health Care
Tory Burch,Retail Apparel and Fashion
Planet Technology,Staffing and Recruiting
Stem Inc,Oil and Gas
Cornell Cooperative Extension,Education
Labcorp,Hospitals and Health Care
Riverside Health,Hospitals and Health Care
Cambria,Wholesale Building Materials
Prime Therapeutics,Insurance
University of San Diego,Higher Education
Florida Cancer Specialists & Research Institute,Hospitals and Health Care
Houlihan Lokey,Investment Banking
Movado,Retail
Dimensional Fund Advisors,Financial Services
Enterprise Community Partners,Civic and Social Organizations
Del Monte Foods,Food and Beverage Services
Maryland Environmental Service,Environmental Services
PPG,"Paint, Coating, and Adhesive Manufacturing"
Zuora,Software Development
Frito-Lay,Food and Beverage Services
Stonebridge Companies,Hospitality
University of Miami College of Arts & Sciences,Higher Education
Redfin,Real Estate
The University of Kansas Health System,Hospitals and Health Care
VHC Health,Hospitals and Health Care
Groupon,Software Development
Old Dominion Freight Line,Truck Transportation
Merative,IT Services and IT Consulting
Ultra Maritime,Defense and Space Manufacturing
Aptive Environmental,Environmental Services
Intel Corporation,Semiconductor Manufacturing
AAA The Auto Club Group,Insurance Agencies and Brokerages
Fresenius Kabi USA,Pharmaceutical Manufacturing
Baptist Health System KY & IN,Hospitals and Health Care
Ibotta,"Technology, Information and Media"
CenterLight Health System,Hospitals and Health Care
Red River,IT Services and IT Consulting
QTS Data Centers,IT Services and IT Consulting
Entrust,Software Development
Simmons University,Higher Education
Cleveland Clinic,Hospitals and Health Care
Relativity,Software Development
Symbotic,Automation Machinery Manufacturing
