company_name,company_industry
Marshfield Clinic Health System,Hospitals and Health Care
Gartner,Pharmaceutical Manufacturing
Summit Health,Financial Services
"Multnomah County, OR",Beverage Manufacturing
Sam's Club,Retail Pharmacies
Blue Yonder,Software Development
Cushman & Wakefield,Real Estate
Wolverine Worldwide,Hospitals and Health Care
SS&C,Financial Services
Gundersen Health System,Hospitals and Health Care
CoStar Group,Real Estate
Arizona State University,Higher Education
Brunswick Corporation,Manufacturing
Washington State University,Higher Education
University of Central Florida,Higher Education
Georgetown University,Higher Education
Carter's,Retail
NCR Atleos,Banking
University of Miami,Higher Education
3M,Industrial Machinery Manufacturing
Texas A&M University,Higher Education
Gallagher,Insurance
Gordon Food Service,Food and Beverage Services
Dallas College,Higher Education
Mango,Software Development
DXC Technology,IT Services and IT Consulting
Discovery Land Company,Real Estate
Blue Cross Blue Shield of Louisiana,Financial Services
Finning,Machinery Manufacturing
Avis Budget Group,Travel Arrangements
World Vision International,Non-profit Organizations
"Nexstar Media Group, Inc.",Broadcast Media Production and Distribution
The University of Chicago,Education
KLA,Machinery Manufacturing
Netflix,Entertainment Providers
American Red Cross,Non-profit Organizations
M&T Bank,Financial Services
